"Name","Type","SWF","ExportName","RequiredClanLevel"
"String","String","String","String","int"
"Pattern2","Middle","sc/ui.sc","fg1",
"Pattern3","Middle","sc/ui.sc","fg1b",
"Pattern4","Middle","sc/ui.sc","fg3",
"Pattern5","Middle","sc/ui.sc","fg4",
"Pattern6","Middle","sc/ui.sc","fg5",
"Pattern7","Middle","sc/ui.sc","fg6",
"Pattern8","Middle","sc/ui.sc","fg7",
"Pattern9","Middle","sc/ui.sc","fg8",
"Pattern10","Middle","sc/ui.sc","fg9",
"Pattern11","Middle","sc/ui.sc","fg10",
"Pattern12","Middle","sc/ui.sc","fg11",
"Pattern13","Middle","sc/ui.sc","fg12",
"Pattern14","Middle","sc/ui.sc","fg13",
"Pattern15","Middle","sc/ui.sc","fg14",
"Pattern16","Middle","sc/ui.sc","fg15",
"Pattern17","Middle","sc/ui.sc","fg16",
"Pattern18","Middle","sc/ui.sc","fg16b",
"Pattern19","Middle","sc/ui.sc","fg18",
"Pattern20","Middle","sc/ui.sc","fg18b",
"Pattern21","Middle","sc/ui.sc","fg20",
"Pattern22","Middle","sc/ui.sc","fg20b",
"Pattern23","Middle","sc/ui.sc","fg22",
"Pattern24","Middle","sc/ui.sc","fg22b",
"Pattern25","Middle","sc/ui.sc","fg24",
"Pattern26","Middle","sc/ui.sc","fg24b",
"Pattern27","Middle","sc/ui.sc","fg26",
"Pattern28","Middle","sc/ui.sc","fg26b",
"Pattern50","Middle","sc/ui.sc","fg29b",
"Pattern29","Middle","sc/ui.sc","fg29",
"Pattern30","Middle","sc/ui.sc","fg30",
"Pattern31","Middle","sc/ui.sc","fg30b",
"Pattern32","Middle","sc/ui.sc","fg32",
"Pattern33","Middle","sc/ui.sc","fg32b",
"Pattern34","Middle","sc/ui.sc","fg34",
"Pattern35","Middle","sc/ui.sc","fg34b",
"Pattern36","Middle","sc/ui.sc","fg36",
"Pattern37","Middle","sc/ui.sc","fg36b",
"Pattern38","Middle","sc/ui.sc","fg38",
"Pattern39","Middle","sc/ui.sc","fg39",
"Pattern40","Middle","sc/ui.sc","fg39b",
"Pattern41","Middle","sc/ui.sc","fg41",
"Pattern42","Middle","sc/ui.sc","fg42",
"Pattern43","Middle","sc/ui.sc","fg42b",
"Pattern44","Middle","sc/ui.sc","fg44",
"Pattern45","Middle","sc/ui.sc","fg44b",
"Pattern46","Middle","sc/ui.sc","fg46",
"Pattern47","Middle","sc/ui.sc","fg46b",
"Pattern48","Middle","sc/ui.sc","fg48",
"Pattern48a","Middle","sc/ui.sc","fg48a",
"Pattern48b","Middle","sc/ui.sc","fg48b",
"Pattern48c","Middle","sc/ui.sc","fg48c",
"Pattern48d","Middle","sc/ui.sc","fg48d",
"Pattern48e","Middle","sc/ui.sc","fg48e",
"Pattern49","Middle","sc/ui.sc","fg49",
"Pattern51","Middle","sc/ui.sc","fg51",
"Pattern51a","Middle","sc/ui.sc","fg51a",
"Pattern51b","Middle","sc/ui.sc","fg51b",
"Pattern51c","Middle","sc/ui.sc","fg51c",
"Pattern51d","Middle","sc/ui.sc","fg51d",
"Pattern51e","Middle","sc/ui.sc","fg51e",
"Pattern52","Middle","sc/ui.sc","fg52",
"Pattern52a","Middle","sc/ui.sc","fg52a",
"Pattern52b","Middle","sc/ui.sc","fg52b",
"Pattern52c","Middle","sc/ui.sc","fg52c",
"Pattern52d","Middle","sc/ui.sc","fg52d",
"Pattern52e","Middle","sc/ui.sc","fg52e",
"Pattern53","Middle","sc/ui.sc","fg53",
"Pattern53a","Middle","sc/ui.sc","fg53a",
"Pattern53b","Middle","sc/ui.sc","fg53b",
"Pattern53c","Middle","sc/ui.sc","fg53c",
"Pattern53d","Middle","sc/ui.sc","fg53d",
"Pattern53e","Middle","sc/ui.sc","fg53e",
"Pattern54","Middle","sc/ui.sc","fg54",
"Pattern54a","Middle","sc/ui.sc","fg54a",
"Pattern54b","Middle","sc/ui.sc","fg54b",
"Pattern54c","Middle","sc/ui.sc","fg54c",
"Pattern54d","Middle","sc/ui.sc","fg54d",
"Pattern54e","Middle","sc/ui.sc","fg54e",
"Middle_empty","Middle","sc/ui.sc",,
"badge1","Background","sc/ui.sc","bg1",
"badge2","Background","sc/ui.sc","bg2",
"badge3","Background","sc/ui.sc","bg3",
"badge4","Background","sc/ui.sc","bg4",
"badge5","Background","sc/ui.sc","bg5",
"badge6","Background","sc/ui.sc","bg6",
"badge7","Background","sc/ui.sc","bg7",
"badge8","Background","sc/ui.sc","bg8",
"badge9","Background","sc/ui.sc","bg9",
"badge10","Background","sc/ui.sc","bg10",
"badge11","Background","sc/ui.sc","bg11",
"badge12","Background","sc/ui.sc","bg12",
"Foreground1","Foreground","sc/ui.sc",,
"Foreground2","Foreground","sc/ui.sc","badge_border_1a",2
"Foreground2a","Foreground","sc/ui.sc","badge_border_1b",2
"Foreground2b","Foreground","sc/ui.sc","badge_border_1c",2
"Foreground2c","Foreground","sc/ui.sc","badge_border_2a",3
"Foreground3","Foreground","sc/ui.sc","badge_border_2b",3
"Foreground3a","Foreground","sc/ui.sc","badge_border_2c",3
"Foreground3b","Foreground","sc/ui.sc","badge_border_3a",4
"Foreground3c","Foreground","sc/ui.sc","badge_border_3b",4
"Foreground4","Foreground","sc/ui.sc","badge_border_3c",5
"Foreground4a","Foreground","sc/ui.sc","badge_border_3d",5
"Foreground4b","Foreground","sc/ui.sc","badge_border_4a",6
"Foreground4c","Foreground","sc/ui.sc","badge_border_4b",6
"Foreground4d","Foreground","sc/ui.sc","badge_border_4c",7
"Foreground4e","Foreground","sc/ui.sc","badge_border_4d",7
"Foreground5","Foreground","sc/ui.sc","badge_border_5a",8
"Foreground5a","Foreground","sc/ui.sc","badge_border_5b",8
"Foreground5b","Foreground","sc/ui.sc","badge_border_5c",9
"Foreground6","Foreground","sc/ui.sc","badge_border_6a",9
"Foreground6a","Foreground","sc/ui.sc","badge_border_6b",9
