"Name","TID","InfoTID","SWF","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","TrainingResource","TrainingCost","UpgradeTimeH","UpgradeResource","UpgradeCost","AttackRange","AttackSpeed","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","Projectile","PreferedTargetBuilding","PreferedTargetBuildingClass","DeployEffect","AttackEffect","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","Animation","UnitOfType","IsJumper","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DisableProduction","SecondaryTroop","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","SummonTroop","SummonTroopCount","SummonCooldown","SummonEffect","SummonLimit","SpawnIdle","StrengthWeight","ChildTroop","ChildTroopCount","SpeedDecreasePerChildTroopLost","ChildTroop0_X","ChildTroop0_Y","ChildTroop1_X","ChildTroop1_Y","ChildTroop2_X","ChildTroop2_Y","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","HitEffectOffset","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","PreAttackEffect"
"String","String","String","String","int","int","int","int","int","int","String","int","int","String","int","int","int","int","int","int","boolean","boolean","String","String","String","String","String","String","String","String","String","String","String","boolean","boolean","boolean","int","String","String","int","boolean","int","int","String","int","int","String","int","boolean","String","boolean","int","int","boolean","boolean","int","String","int","int","String","int","int","int","String","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","String","String","String","String","String","String","int","int","int","String","int","int","int","int","int","boolean","int","int","int","int","boolean","int","String"
"Barbarian","TID_BARBARIAN","TID_CHARACTER_INFO_BARBARIAN","sc/characters.cs",1,1,1,200,45,20,"Elixir",25,6,"Elixir",50000,40,1000,8,1,,,,"sc/ui.sc","icon_unit_barbarian","unit_barbarian_big","sc/info_barbarian.sc",,,,"Barbarian Deploy","Barbarian Attack","Barbarian Hit",,"false","false","true",,"Barbarian Die","Barbarian",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,100,100,,"true",,
,,,,,,1,,54,,,40,24,,150000,,,11,,,,,,,,,,,,,,,,,,,,,"Barbarian",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,65,,,60,72,,500000,,,14,,,,,,,,,,,,,,,,,,,,,"Barbarian3",1,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,78,,,100,120,,1500000,,,18,,,,,,,,,,,,,,,,,,,,,"Barbarian3",1,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,95,,,150,240,,4500000,,,23,,,,,,,,,,,,,,,,,,,,,"Barbarian5",1,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,110,,,200,336,,6000000,,,26,,,,,,,,,,,,,,,,,,,,,"Barbarian6",1,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,125,,,250,,,,,,30,,,,,,,,,,,,,,,,,,,,,"Barbarian7",1,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer","TID_ARCHER","TID_CHARACTER_INFO_ARCHER","sc/characters.cs",1,2,1,300,20,25,"Elixir",50,12,"Elixir",50000,350,1000,7,1,,,,"sc/ui.sc","icon_unit_archer","unit_archer_big","sc/info_archer.sc","Arrow_small",,,"Archer Deploy","Archer Attack","Archer Hit",,"false","true","true",,"Archer Die","Archer",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,100,100,,"true",,
,,,,,,1,,23,,,80,48,,250000,,,9,,,,,,,,,"Arrow_small",,,,,,,,,,,,"Archer",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,28,,,120,72,,750000,,,12,,,,,,,,,"Arrow_small_fire",,,,,,,,,,,,"Archer2",1,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,33,,,200,120,,2250000,,,16,,,,,,,,,"Arrow_small_fire",,,,,,,,,,,,"Archer2",1,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,40,,,300,240,,6000000,,,20,,,,,,,,,"Arrow_small_elixirFire",,,,,,,,,,,,"Archer3",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,44,,,400,336,,7500000,,,22,,,,,,,,,"Arrow_small_darkElixirFire",,,,,,,,,,,,"Archer6",1,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,48,,,500,,,,,,25,,,,,,,,,"Arrow_small_darkElixirFire2",,,,,,,,,,,,"Archer7",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goblin","TID_GOBLIN","TID_CHARACTER_INFO_GOBLIN","sc/characters.cs",1,4,1,400,25,30,"Elixir",25,12,"Elixir",50000,40,1000,11,2,,,,"sc/ui.sc","icon_unit_goblin","unit_goblin_big","sc/info_goblin.sc",,,"Resource","Goblin Deploy","Goblin Attack","Goblin Hit",,"false","false","true",,"Goblin Die","Goblin",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,50,50,,"true",,
,,,,,,1,,30,,,40,48,,250000,,,14,,,,,,,,,,,,,,,,,,,,,"Goblin",1,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,36,,,60,72,,750000,,,19,,,,,,,,,,,,,,,,,,,,,"Goblin2",1,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,43,,,80,120,,2250000,,,24,,,,,,,,,,,,,,,,,,,,,"Goblin2",1,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,52,,,100,192,,4500000,,,32,,,,,,,,,,,,,,,,,,,,,"Goblin3",1,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,68,,,150,240,,6750000,,,42,,,,,,,,,,,,,,,,,,,,,"Goblin6",1,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,74,,,200,,,,,,52,,,,,,,,,,,,,,,,,,,,,"Goblin7",1,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant","TID_GIANT","TID_CHARACTER_INFO_GIANT","sc/characters.cs",5,3,1,150,300,120,"Elixir",250,24,"Elixir",100000,100,2000,11,1,,,,"sc/ui.sc","icon_unit_giant","unit_giant_big","sc/info_giant.sc",,,"Defense","Giant Deploy","Giant Attack","Giant Hit",,"false","false","true",,"Giant Die","Giant",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,500,,"true",,
,,,,,,2,,360,,,750,48,,250000,,,14,,,,,,,,,,,,,,,,,,,,,"Giant",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,430,,,1250,72,,750000,,,19,,,,,,,,,,,,,,,,,,,,,"Giant2",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,520,,,1750,120,,2250000,,,24,,,,,,,,,,,,,,,,,,,,,"Giant2",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,670,,,2250,240,,6000000,,,31,,,,,,,,,,,,,,,,,,,,,"Giant3",1,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,940,,,3000,336,,7000000,,,43,,,,,,,,,,,,,,,,,,,,,"Giant6",1,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,1100,,,3500,,,,,,50,,,,,,,,,,,,,,,,,,,,,"Giant7",1,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wall Breaker","TID_WALL_BREAKER","TID_CHARACTER_INFO_WALLBREAKER","sc/characters.cs",2,5,1,300,20,120,"Elixir",1000,24,"Elixir",100000,50,1000,12,40,80,,,"sc/ui.sc","icon_unit_wallbreaker","unit_skeleton_big","sc/info_wallbreaker.sc",,,"Wall","Wall Breaker Deploy","Wall Breaker Attack","Wall Breaker Hit",,"false","false","true",1,"Wall Breaker Die","Wall Breaker",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,50,50,,"true",,
,,,,,,2,,24,,,1500,48,,250000,,,16,,80,,,,,,,,,,,,,,,,,,,"Wall Breaker",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,29,,,2000,72,,750000,,,24,,80,,,,,,,,,,,,,,,,,,,"Wall Breaker2",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,35,,,2500,120,,2250000,,,32,,80,,,,,,,,,,,,,,,,,,,"Wall Breaker2",1,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,42,,,3000,240,,6750000,,,46,,80,,,,,,,,,,,,,,,,,,,"Wall Breaker3",1,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,54,,,3500,,,,,,60,,80,,,,,,,,,,,,,,,,,,,"Wall Breaker6",1,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balloon","TID_GOBLIN_BALLOON","TID_CHARACTER_INFO_BALLOON","sc/characters.cs",5,6,1,130,150,480,"Elixir",2000,24,"Elixir",150000,50,4000,25,1,120,,"true","sc/ui.sc","icon_unit_balloon","unit_balloon_big","sc/info_balloon.sc",,,"Defense","Balloon Goblin Deploy","Balloon Goblin Attack","Balloon Goblin Hit",,"true","false","true",,"Balloon Goblin Die","Balloon Goblin",1,"false",,20,"TombStone",25,120,"Balloon Exposion",416,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,-750,100,,,,,,,,,,600,500,,"true",,
,,,,,,2,,180,,,2500,48,,450000,,,32,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin",1,,,,,32,,"Balloon Exposion",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,216,,,3000,72,,1350000,,,48,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin2",1,,,,,48,,"Balloon Exposion",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,280,,,3500,120,,2500000,,,72,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin2",1,,,,,72,,"Balloon Exposion",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,390,,,4000,240,,6000000,,,108,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin3",1,,,,,108,,"Balloon Exposion",,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,545,,,4500,,,,,,162,,,,,,,,,,,,,,,,,,,,,"Balloon Goblin6",1,,,,,162,,"Dark Balloon Exposion",,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wizard","TID_WIZARD","TID_CHARACTER_INFO_WIZARD","sc/characters.cs",4,7,1,200,75,480,"Elixir",1500,24,"Elixir",150000,300,1500,50,1,30,,,"sc/ui.sc","icon_unit_wizard","unit_wizard_big","sc/info_wizard.sc","wizard_projectile",,,"Wizard Deploy","Wizard Attack","Wizard Hit1",,"false","true","true",,"Wizard Die","Wizard",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,200,,"true",,
,,,,,,3,,90,,,2000,48,,450000,,,70,,,,,,,,,"wizard_projectile",,,,"Wizard Attack","Wizard Hit1",,,,,,,"Wizard",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,108,,,2500,72,,1350000,,,90,,,,,,,,,"wizard_projectile",,,,"Wizard Attack","Wizard Hit1",,,,,,,"Wizard2",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5,,130,,,3000,120,,2500000,,,125,,,,,,,,,"wizard_projectile2",,,,"Wizard Attack2","Wizard Hit2",,,,,,,"Wizard2",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,156,,,3500,336,,7500000,,,170,,,,,,,,,"wizard_projectile2",,,,"Wizard Attack2","Wizard Hit2",,,,,,,"Wizard3",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,164,,,4000,,,,,,180,,,,,,,,,"wizard_projectile3",,,,"Wizard Attack3","Wizard Hit2",,,,,,,"Wizard6",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Healer","TID_HEALER","TID_CHARACTER_INFO_HEALER","sc/characters.cs",14,8,1,200,500,900,"Elixir",5000,72,"Elixir",750000,500,700,-35,1,200,,,"sc/ui.sc","icon_unit_healer","unit_healer_big","sc/info_healer.sc","HealerEnergy",,,"Healer Deploy","Healer Attack","Healer Hit",,"true","false","true",,"Healer Die","Healer",1,"false",,50,"TombStone",,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,200,200,,"true",,
,,,,,,5,,600,,,6000,120,,1500000,,,-42,,,,,,,,,,,,,,,,,,,,,"Healer",1,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,840,,,8000,168,,3000000,,,-55,,,,,,,,,,,,,,,,,,,,,"Healer2",1,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,1176,,,10000,,,,,,-71,,,,,,,,,,,,,,,,,,,,,"Healer2",1,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragon","TID_DRAGON","TID_CHARACTER_INFO_DRAGON","sc/characters.cs",20,9,1,200,1900,1800,"Elixir",25000,168,"Elixir",2000000,300,1500,140,1,30,,,"sc/ui.sc","icon_unit_dragon","unit_dragon_big","sc/info_dragon.sc",,,,"Dragon Deploy","Dragon Attack","Dragon Hit",,"true","true","true",,"Dragon Die","Dragon",1,"false",,15,"TombStone",,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,-700,80,,,,,,,,,,3000,2000,,"true",,
,,,,,,5,,2100,,,29000,240,,3000000,,,160,,,,,,,,,,,,,,,,,,,,,"Dragon2",1,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,2300,,,33000,336,,7000000,,,180,,,,,,,,,,,,,,,,,,,,,"Dragon3",1,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,2500,,,37000,336,,8000000,,,200,,,,,,,,,,,,,,,,,,,,,"Dragon4",1,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,2700,,,42000,,,,,,220,,,,,,,,,,,,,,,,,,,,,"Dragon5",1,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
