"Name","TID","InfoTID","SWF","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","TrainingResource","TrainingCost","UpgradeTimeH","UpgradeResource","UpgradeCost","AttackRange","AttackSpeed","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","Projectile","PreferedTargetBuilding","PreferedTargetBuildingClass","DeployEffect","AttackEffect","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","Animation","UnitOfType","IsJumper","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DisableProduction","SecondaryTroop","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","SummonTroop","SummonTroopCount","SummonCooldown","SummonEffect","SummonLimit","SpawnIdle","StrengthWeight","ChildTroop","ChildTroopCount","SpeedDecreasePerChildTroopLost","ChildTroop0_X","ChildTroop0_Y","ChildTroop1_X","ChildTroop1_Y","ChildTroop2_X","ChildTroop2_Y","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","HitEffectOffset","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","PreAttackEffect"
"PEKKA","TID_PEKKA","TID_CHARACTER_INFO_PEKKA","sc/characters.cs",25,10,1,200,2800,2700,"Elixir",28000,240,"Elixir",3000000,80,2500,240,1,,,,"sc/ui.sc","icon_unit_pekka","unit_pekka_big","sc/info_pekka.sc",,,,"Pekka Deploy","Pekka Attack","Pekka Hit",,"false","false","true",,"Pekka Die","PEKKA",1,"false",,0,"TombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,3000,2000,,"true",,
,,,,,,6,,3100,,,32000,288,,6000000,,,270,,,,,,,,,,,,,,,,,,,,,"PEKKA2",1,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,3500,,,36000,336,,7000000,,,300,,,,,,,,,,,,,,,,,,,,,"PEKKA3",1,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,4000,,,40000,336,,8000000,,,340,,,,,,,,,,,,,,,,,,,,,"PEKKA4",1,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,4500,,,45000,,,,,,380,,,,,,,,,,,,,,,,,,,,,"PEKKA5",1,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gargoyle","TID_GARGOYLE","TID_CHARACTER_INFO_MINION","sc/characters.cs",2,1,1,400,55,45,"DarkElixir",6,120,"DarkElixir",10000,275,1000,35,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_flyingF_big","sc/info_minion.sc","gargoyle_projectile",,,"Gargoyle Deploy","Gargoyle Attack","Gargoyle Hit",,"true","true","true",,"Gargoyle Die","Gargoyle_lvl1",2,"false",,100,"DarkTombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,-400,60,,,,,,,,,,200,100,,"true",,
,,,,,,5,,60,,,7,144,,20000,,,38,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl1",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,66,,,8,168,,30000,,,42,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl2",,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,72,,,9,240,,40000,,,46,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl2",,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,78,,,10,288,,100000,,,50,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl3",,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,84,,,11,336,,140000,,,54,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl4",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,,90,,,12,,,,,,58,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl5",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boar Rider","TID_BOARRIDER","TID_CHARACTER_INFO_RIDER","sc/characters.cs",5,2,1,300,270,120,"DarkElixir",40,192,"DarkElixir",20000,60,1000,60,1,,,,"sc/ui.sc","icon_unit_boarRider","unit_boarRider_big","sc/info_hogrider.sc",,,"Defense","BoarRider Deploy","BoarRider Attack","BoarRider Hit",,"false","false","true",,"BoarRider Die","BoarRider_lvl1",2,"true",,0,"DarkTombStone",,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,500,,"true",,
,,,,,,5,,312,,,45,240,,30000,,,70,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl1",,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,360,,,52,264,,40000,,,80,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl2",,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,,415,,,58,288,,50000,,,92,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl2",,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,475,,,65,336,,100000,,,105,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl3",,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,535,,,90,,,,,,118,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl4",,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warrior Girl","TID_WARRIORGIRL","TID_CHARACTER_INFO_VALKYRIE","sc/characters.cs",8,3,1,300,750,480,"DarkElixir",70,192,"DarkElixir",50000,50,1800,94,1,100,,"true","sc/ui.sc","icon_unit_warriorGirl","unit_warriorGirl_big","sc/info_valkyrie.sc",,,,"WarriorGirl Deploy","WarriorGirl Attack","WarriorGirl Hit",,"false","false","true",,"WarriorGirl Die","WarriorGirl_lvl1",2,"false",,0,"DarkTombStone",,,,,,,,,,,,,,,,,,,80,,,,,,,,,,"true",,,,,,,,,,,,,-50,,,,,,,,,,600,500,600,"true",,
,,,,,,6,,825,,,100,240,,60000,,,106,,,,,,,,,,,,,"WarriorGirl Attack",,,,,,,,"WarriorGirl_lvl1",,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,910,,,130,288,,70000,,,119,,,,,,,,,,,,,"WarriorGirl Attack2",,,,,,,,"WarriorGirl_lvl2",,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,1000,,,160,336,,110000,,,133,,,,,,,,,,,,,"WarriorGirl Attack2",,,,,,,,"WarriorGirl_lvl2",,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,1100,,,190,,,,,,148,,,,,,,,,,,,,"WarriorGirl Attack2",,,,,,,,"WarriorGirl_lvl3",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golem","TID_GOLEM","TID_CHARACTER_INFO_GOLEM","sc/characters.cs",30,4,1,150,4500,2700,"DarkElixir",450,240,"DarkElixir",60000,100,2400,38,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_big","sc/info_golem.sc",,,"Defense","Golem Deploy","Golem Attack","Golem Hit",,"false","false","true",,"Golem_split","Golem_lvl1",2,"false",,0,"DarkTombStone",350,120,,0,,"Golem Secondary",,2,150,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,1000,3000,,"true",,
,,,,,,6,,5000,,,525,288,,70000,,,42,,,,,,,,,,,,,,,,,,,,,"Golem_lvl1",,,,,,400,,,,,,,2,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,5500,,,600,336,,80000,,,46,,,,,,,,,,,,,,,,,,,,,"Golem_lvl2",,,,,,450,,,,,,,2,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7,,6000,,,675,336,,90000,,,50,,,,,,,,,,,,,,,,,,,,,"Golem_lvl2",,,,,,500,,,,,,,2,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,6300,,,750,,,,,,54,,,,,,,,,,,,,,,,,,,,,"Golem_lvl3",,,,,,530,,,,,,,2,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golem Secondary","TID_GOLEM_SEC","TID_CHARACTER_INFO_GOLEM_SEC","sc/characters.cs",15,1,1,150,900,,"DarkElixir",,,"DarkElixir",,50,3000,7,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_secondary_big","sc/info_golem.sc",,,"Defense",,"Small Golem Attack","Golem Hit",,"false","false","true",,"Golem_die","GolemSmall_lvl1",,"false",,0,"DarkTombStone",70,120,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,500,1500,,"true",,
,,,,,,,,1000,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl1",,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1100,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl2",,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1200,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl2",,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1260,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl3",,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warlock","TID_WARLOCK","TID_CHARACTER_INFO_WARLOCK","sc/characters.cs",12,5,1,150,75,1200,"DarkElixir",250,240,"DarkElixir",75000,400,700,25,1,30,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc","Witch_projectile",,,"Warlock Deploy","Warlock Attack","Warlock Hit",,"false","true","true",,"Warlock Die","Necromancer_lvl1",2,"false",,0,"DarkTombStone",,,,,,,,,150,,,,"Skeleton",3,6000,"Warlock Summon",6,,1500,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,1200,200,,"true",,
,,,,,,7,,100,,,350,336,,160000,400,700,30,,,,,,,,,,,,,,,,,,,,,"Necromancer_lvl1",,,,,,,,,,,,,,150,,,,,4,6000,,8,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,,125,,,450,,,,400,700,35,,,,,,,,,,,,,,,,,,,,,"Necromancer_lvl2",,,,,,,,,,,,,,150,,,,,5,6000,,10,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skeleton","TID_SKELETON","TID_CHARACTER_INFO_SKELETON","sc/characters.cs",1,1,1,300,30,,"DarkElixir",,,"DarkElixir",50000,40,1000,25,1,,,,"sc/ui.sc","icon_unit_barbarian","unit_skeletonwarrior_big","sc/info_witch.sc",,,,"Skeleton Deploy","Skeleton Attack","Skeleton Hit",,"false","false","true",,"Skeleton Die","Skeleton",,"false",,0,,,,,,"true",,"true",,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,100,100,,"false",,
"AirDefenceSeeker","TID_AD_SEEKER","TID_CHARACTER_INFO_AD_SEEKER_WITH_EXPLOSION","sc/characters.cs",30,6,1,250,5700,2700,"DarkElixir",390,240,"DarkElixir",60000,75,2000,10,1,,,,"sc/ui.sc","icon_unit_tiny","unit_tiny_big","sc/info_tiny.sc","hound_projectile","Air Defense",,"Tiny Deploy","Tiny Attack","Tiny Hit",,"true","FALSE","true",,"Tiny Die","ADSeeker_lvl1",2,"false",,100,"DarkTombStone",100,120,,,,"AirDefenceSeekerFragment",,8,500,"true",,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,-700,80,100,,,,,,,,,1000,3000,,"true",,
,,,,,,7,,6200,,,450,288,,70000,,,12,,,,,,,,,,,,,"Tiny Attack",,,,,,,,"ADSeeker_lvl2",,,,,,150,,,,,,,10,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,,6700,,,510,336,,80000,,,14,,,,,,,,,,,,,"Tiny Attack",,,,,,,,"ADSeeker_lvl3",,,,,,200,,,,,,,12,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AirDefenceSeekerFragment","TID_AD_SEEKER_FRAG","TID_CHARACTER_INFO_AD_SEEKER_FRAG","sc/characters.cs",2,1,1,400,50,,"DarkElixir",,,"DarkElixir",,275,1000,35,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_tinymites_big","sc/info_tiny.sc","tinyhound_projectile",,,,"Tinymite Attack","Tinymite Hit",,"true","true","true",,"Tinymite Die","TinyBaby_lvl1",,"false",,100,"DarkTombStone",,,,,"true",,"true",,,,"true",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-700,80,,,,,,,,,,200,100,,"true",,
"TrapSkeletonGround","TID_SKELETON","TID_CHARACTER_INFO_SKELETON","sc/characters.cs",1,1,1,300,30,,"DarkElixir",,,"DarkElixir",,40,700,25,1,,,,"sc/ui.sc","icon_unit_barbarian","unit_skeletonwarrior_big","sc/info_witch.sc",,,,"Skeleton Deploy","Skeleton Attack","Skeleton Hit",,"false","false","true",,"Skeleton Die","Skeleton",,"false",,0,,,,,,"true",,"true",,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,-50,,"trap_skeleton_icon",,,,,,,,100,100,,"true",,
"GargoyleTrap","TID_GARGOYLE","TID_CHARACTER_INFO_MINION","sc/characters.cs",2,1,1,300,30,45,"DarkElixir",6,120,"DarkElixir",10000,40,700,25,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_flyingF_big","sc/info_minion.sc","gargoyle_projectile",,,"Gargoyle Deploy","Gargoyle Attack","Gargoyle Hit",,"true","true","false",,"Gargoyle Die","Gargoyle_lvl1",2,"false",,100,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-400,60,,,,,,,,,,100,100,,"true",,
"TrapSkeletonAir","TID_SKELETON","TID_CHARACTER_INFO_SKELETON","sc/characters.cs",2,1,1,220,30,45,"DarkElixir",6,120,"DarkElixir",10000,40,700,25,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_flyingF_big","sc/info_witch.sc",,,,,"Skeleton Attack","Skeleton Hit",,"true","true","false",,"Skeleton Die","Airskeleton",2,"false",,100,,,,,,"true",,"true",,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,-400,60,,"trap_skeleton_icon",,,,,,,,100,100,,"true",,
"Bowler","TID_BOWLER","TID_CHARACTER_INFO_BOWLER","sc/characters.cs",8,7,1,175,320,480,"DarkElixir",130,240,"DarkElixir",120000,300,2200,65,1,30,,,"sc/ui.sc","icon_unit_troll","unit_troll_big","sc/info_troll.sc","trollBoulder_lvl1",,,"Troll Deploy",,"trollBoulderHit","trollBoulderHit_dust_lvl1","false","false","true",,"Wizard Die","Troll_lvl1",2,"false",,0,"DarkTombStone",,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,500,2000,"true",400,"trollAttack"
,,,,,,8,,350,,,150,336,,200000,,,75,,,,,,,,,"trollBoulder_lvl1",,,,,,"trollBoulderHit_dust_lvl1",,,,,,"Troll_lvl1",,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,,380,,,170,,,,,,85,,,,,,,,,"trollBoulder_lvl2",,,,,,"trollBoulderHit_dust_lvl2",,,,,,"Troll_lvl2",,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prototype_1","TID_GHOST","TID_CHARACTER_INFO_GHOST","sc/characters.cs",10,99,1,450,10000,20,"DarkElixir",200,240,"DarkElixir",80000,1,1000,0,,,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc",,,,"Golem Deploy",,,,"true","true","true",,,"Prototype_Ghost",2,"false",,0,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,1000,,,,,100,100,,"true",,
"Prototype_2","TID_GHOST","TID_CHARACTER_INFO_GHOST","sc/characters.cs",10,99,1,450,10000,20,"DarkElixir",200,240,"DarkElixir",80000,1,1000,0,,,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc",,,,"Golem Deploy",,,,"true","true","true",,,"Prototype_Ghost",2,"false",,0,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,1000,,,,,100,100,,"true",,
"Prototype_3","TID_GHOST","TID_CHARACTER_INFO_GHOST","sc/characters.cs",10,99,1,450,10000,20,"DarkElixir",200,240,"DarkElixir",80000,1,1000,0,,,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc",,,,"Golem Deploy",,,,"true","true","true",,,"Prototype_Ghost",2,"false",,0,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,1000,,,,,100,100,,"true",,
"Prototype_4","TID_GHOST","TID_CHARACTER_INFO_GHOST","sc/characters.cs",10,99,1,450,10000,20,"DarkElixir",200,240,"DarkElixir",80000,1,1000,0,,,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc",,,,"Golem Deploy",,,,"true","true","true",,,"Prototype_Ghost",2,"false",,0,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,1000,,,,,100,100,,"true",,
"Prototype_5","TID_GHOST","TID_CHARACTER_INFO_GHOST","sc/characters.cs",10,99,1,450,10000,20,"DarkElixir",200,240,"DarkElixir",80000,1,1000,0,,,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc",,,,"Golem Deploy",,,,"true","true","true",,,"Prototype_Ghost",2,"false",,0,"DarkTombStone",,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,500,1000,,,,,100,100,,"true",,
